Year,State,Population
2004,W.P. Labuan,159400
2005,Johor,6148800
2005,Kedah,3640600
2005,Kelantan,2972600
2005,Melaka,1474600
2005,Negeri Sembilan,1900600
2005,Pahang,2801600
2005,Perak,4502200
2005,Perlis,443200
2005,Pulau Pinang,2920800
2005,Sabah,5794000
2005,Sarawak,4564800
2005,Selangor,9699200
2005,Terengganu,1962800
2005,W.P. Kuala Lumpur,3103600
2005,W.P. Labuan,161600
2006,Johor,6268800
2006,Kedah,3695000
2006,Kelantan,3015200
2006,Melaka,1510000
2006,Negeri Sembilan,1934000
2006,Pahang,2842400
2006,Perak,4558700
2006,Perlis,448900
2006,Pulau Pinang,2968300
2006,Sabah,5925800
2006,Sarawak,4649800
2006,Selangor,9972300
2006,Terengganu,1991800
2006,W.P. Kuala Lumpur,3155000
2006,W.P. Labuan,164000
2007,Johor,6387000
2007,Kedah,3748300
2007,Kelantan,3058200
2007,Melaka,1545500
2007,Negeri Sembilan,1967000
2007,Pahang,2882800
2007,Perak,4612800
2007,Perlis,454400
2007,Pulau Pinang,3015600
2007,Sabah,6064600
2007,Sarawak,4732200
2007,Selangor,10254100
2007,Terengganu,2020800
2007,W.P. Kuala Lumpur,3206600
2007,W.P. Labuan,166400
2008,Johor,6504600
2008,Kedah,3800400
2008,Kelantan,3099600
2008,Melaka,1581000
2008,Negeri Sembilan,1999300
2008,Pahang,2923200
2008,Perak,4663200
2008,Perlis,460300
2008,Pulau Pinang,3062600
2008,Sabah,6210200
2008,Sarawak,4816800
2008,Selangor,10536900
2008,Terengganu,2050399
2008,W.P. Kuala Lumpur,3257800
2008,W.P. Labuan,169200
2009,Johor,6618800
2009,Kedah,3850600
2009,Kelantan,3140100
2009,Melaka,1615600
2009,Negeri Sembilan,2029800
2009,Pahang,2963300
2009,Perak,4711300
2009,Perlis,465900
2009,Pulau Pinang,3108600
2009,Sabah,6362300
2009,Sarawak,4901600
2009,Selangor,10835600
2009,Terengganu,2081400
2009,W.P. Kuala Lumpur,3305600
2009,W.P. Labuan,172600
2010,Johor,6725900
2010,Kedah,3898600
2010,Kelantan,3179800
2010,Melaka,1647200
2010,Negeri Sembilan,2059000
2010,Pahang,3003800
2010,Perak,4758000
2010,Perlis,471600
2010,Pulau Pinang,3151800
2010,Sabah,6519900
2010,Sarawak,4974100
2010,Selangor,11004200
2010,Terengganu,2110900
